Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-2109,Sub-task,Team Testing: Get comments endpoint,Completed,2025-02-10 11:35,-,-,-,2M 1w 4d 10h 18m,-,-,-,-,-,12m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 2d 0h 35m,-,-
EPA-2108,Sub-task,Automation: Get comments endpoint,Completed,2025-02-10 11:34,-,-,-,2M 1w 4d 10h 12m,-,-,-,-,-,2d 0h 12m,-,-,-,6m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 0d 0h 36m,-,-
EPA-2107,Sub-task,Test Case Creation: Get comments endpoint,Completed,2025-02-10 11:34,-,-,-,2M 1w 6d 10h 30m,-,-,-,-,-,2d 21h 27m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4d 3h 10m,-,-
EPA-2106,Sub-task,Automation: Preprod testing comments endpoint,Completed,2025-02-10 11:33,-,-,-,2M 1w 3d 10h 7m,-,-,-,-,-,42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 0h 19m,-,-
EPA-2105,Sub-task,Automation: Team testing comments endpoint,Completed,2025-02-10 11:32,-,-,-,2M 1w 4d 12h 15m,-,-,-,-,-,18h 2m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 1d 4h 50m,-,-
EPA-2104,Sub-task,Automation: Create comments endpoint,Completed,2025-02-10 11:32,-,-,-,2M 1w 4d 10h 10m,-,-,-,-,-,1d 3h 29m,-,-,-,20h 7m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 0d 1h 21m,-,-
EPA-2103,Sub-task,Test Case Creation: Create comments endpoint,Completed,2025-02-10 11:31,-,-,-,2M 1w 6d 9h 47m,-,-,-,-,-,6d 0h 1m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 1h 21m,-,-
EPA-2102,Bug,Approvals counter not updating after approval,Deployed to production,2025-02-10 10:13,-,-,-,-,2M 0w 6d 7h 14m,-,-,6d 0h 47m,-,-,1h 4m,-,-,2d 2h 19m,-,-,20h 2m,-,3d 22h 57m,21h 13m,-,0m,-,-,-,-,-,5h 20m,-,-,3h 31m,-,-
EPA-2101,Bug,Approvals page blank again in Spark sandbox,Deployed to production,2025-02-06 15:18,-,-,-,-,2M 2w 4d 11h 55m,-,-,5h 8m,18h 49m,-,-,-,-,-,-,-,16h 18m,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 3h 5m,1d 0h 7m,-
EPA-2100,Bug,CLONE - My Approvals (Surge): Incorrect Heading Hierarchy (incl error dialog),Will Not Implement,2025-02-07 12:26,-,1h 49m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 14m,-,-,-,-,-,-,-,-,-,-,0m,2M 3w 2d 7h 12m
EPA-2099,Story,FE: Disapprove reason modal,Will Not Implement,2025-02-07 11:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 0h 44m,3h 57m,2M 2w 4d 6h 30m
EPA-2097,Technical Story,Approvals - Connect Program Management endpoint for Soli Calculation,Ready for refinement,2025-02-05 14:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 3w 2d 7h 10m,-,-,-,-,-,-,2d 0h 49m,-,-,-,-,-,-,-,2m,-
EPA-2096,Technical Story,Program Management - Add endpoint for Approval Spend Check Soli,Will Not Implement,2025-02-05 14:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 2w 3d 1h 13m,-,-,-,-,-,-,2d 0h 49m,-,-,-,-,-,-,-,6m,1M 1w 0d 5h 58m
EPA-2095,Story,FE: Update colors of lightbox buttons,Deployed to production,2025-02-05 13:28,-,-,1h 51m,-,2M 2w 3d 14h 47m,-,-,-,-,30m,-,-,-,-,-,-,-,22h 31m,3d 1h 58m,-,1d 1h 3m,-,-,-,-,-,-,2d 14h 26m,-,1m,-,5m,-
EPA-2094,Sub-task,QA - Team Testing,Will Not Implement,2025-02-05 12:31,-,1d 5h 13m,-,-,-,-,-,-,-,21h 44m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,2M 3w 2d 7h 12m
EPA-2093,Sub-task,QA Team functional test,Completed,2025-02-05 10:35,-,-,-,2M 1w 6d 11h 12m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 2d 20h 3m,2d 4h 50m,-
EPA-2092,Sub-task,Test case creation,Completed,2025-02-05 10:35,-,-,-,2M 1w 6d 11h 12m,-,-,-,-,-,1w 5d 0h 53m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-
EPA-2091,Bug,Approve All - Incorrectly approving more than selected,Deployed to production,2025-02-05 10:33,-,-,-,-,2M 0w 4d 8h 8m,-,-,1d 4h 54m,-,-,2h 17m,-,-,17h 33m,6d 22h 8m,-,1w 2d 18h 45m,-,10m,3h 20m,-,-,-,2d 4h 56m,-,-,-,1h 55m,-,-,-,0m,-
EPA-2090,Sub-task,QA Team functional test,Completed,2025-02-05 10:29,-,-,-,2M 3w 2d 8h 43m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 0h 4m,-,3h 24m,-
EPA-2089,Story,Approval Card - Pagination Issue,Deployed to production,2025-02-05 10:17,-,-,1m,-,2M 1w 2d 13h 59m,-,-,-,-,-,3d 0h 31m,-,-,1d 14h 7m,-,-,-,-,7h 18m,35m,2h 21m,-,-,14m,-,-,-,1w 1d 18h 43m,2d 2h 17m,-,-,17m,-
EPA-2088,Story,Approval Card - Generic Confirmation Screen Updates,Deployed to production,2025-02-05 10:15,-,-,-,-,2M 2w 3d 14h 47m,-,-,-,-,2h 59m,30m,-,-,-,-,-,-,-,3d 1h 29m,-,1d 1h 36m,-,-,26m,-,-,-,2d 14h 26m,22h 39m,1h 25m,-,6m,-
EPA-2087,Story, Fallback Insights - Redesign,Deployed to production,2025-02-05 10:13,-,-,-,-,2M 1w 2d 14h 0m,-,-,2d 23h 49m,-,1d 3h 24m,21h 53m,-,-,17h 28m,-,-,-,-,7h 18m,-,-,-,-,11m,-,-,-,1w 1d 18h 43m,1d 1h 21m,-,-,21m,-
EPA-2086,Story,Approval Page - Remove Insights/Confirmation Screens,Deployed to production,2025-02-05 09:55,-,-,1h 28m,-,2M 2w 3d 14h 48m,-,-,-,-,6m,-,-,-,-,-,-,-,1h 38m,3d 1h 56m,-,4h 32m,-,-,35m,-,-,-,2d 14h 27m,1d 20h 59m,2m,-,14m,-
EPA-2085,Story,Approval Card - Use Terra Pill Component,Deployed to production,2025-02-05 09:36,-,-,-,-,2M 1w 2d 14h 0m,-,-,4d 14h 42m,-,2h 24m,1d 0h 17m,-,-,8h 7m,0m,-,2d 0h 0m,-,2h 41m,3d 21h 3m,-,-,-,1h 10m,-,-,-,1d 18h 21m,2d 2h 19m,-,-,0m,-
EPA-2084,Technical Story,BE - Get Comments,Deployed to production,2025-02-04 13:44,-,-,-,-,2M 1w 3d 8h 31m,-,-,4h 11m,38m,-,4d 21h 49m,-,-,-,5d 18h 33m,3h 30m,-,-,-,1d 0h 30m,-,1h 40m,-,3m,-,-,-,19h 52m,3d 1h 39m,-,-,1m,-
EPA-2083,Technical Story,BE - Create Comments,Deployed to production,2025-02-04 13:43,-,-,-,-,2M 1w 3d 8h 31m,-,-,1w 0d 0h 6m,42m,1d 5h 0m,1d 23h 38m,-,-,-,-,3h 30m,-,-,-,2d 21h 17m,-,1h 35m,-,2m,-,-,-,19h 51m,1d 20h 41m,-,-,4m,-
EPA-2082,Story,Approve All - Count of Approvals,Deployed to production,2025-02-04 12:02,-,-,-,-,2M 0w 3d 11h 5m,-,-,8m,-,-,2h 34m,-,-,2h 12m,6d 21h 22m,-,1w 2d 18h 45m,-,2d 20h 9m,1h 10m,-,-,-,3d 2h 33m,-,-,-,1h 47m,-,-,-,55m,-
EPA-2081,Bug,500 error if spend is disabled (no spend strategy) for level,Deployed to production,2025-02-04 11:18,-,-,-,-,2M 3w 2d 7h 11m,-,-,-,-,13h 52m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 3h 49m,-,-,-,-,3h 32m,-,6h 57m,-
EPA-2080,Sub-task,Test case creation,Completed,2025-02-04 09:32,-,-,-,2M 3w 5d 6h 17m,-,-,-,-,-,6h 51m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-
EPA-2079,Task,[FE] Add typescript check into precommit and CI pipeline,Done,2025-02-03 15:01,-,-,18h 18m,-,-,2M 2w 6d 16h 7m,-,-,-,23h 26m,-,-,-,-,-,-,-,2d 6h 44m,-,-,-,-,-,-,-,-,0m,-,-,2d 15h 4m,-,1m,-
