Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-2343,Technical Story,BE: Support QA Jenkins migration,Deployed to production,2025-04-18 10:15,-,-,-,-,6d 10h 53m,-,-,3d 23h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5h 34m,-,-,3d 21h 54m,-,-
EPA-2342,Sub-task,UX Review,Completed,2025-04-17 16:42,-,-,-,1w 2d 13h 54m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 17h 4m,-,-
EPA-2341,Sub-task,UX Review,Completed,2025-04-17 16:41,-,-,-,1w 1d 8h 19m,-,-,-,-,-,1d 2h 20m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 20h 20m,-,-
EPA-2340,Sub-task,UX Review,Completed,2025-04-17 16:41,-,-,-,1w 2d 14h 11m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 16h 48m,-,-
EPA-2339,Sub-task,UX review,Completed,2025-04-17 16:41,-,-,-,12h 37m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 0d 18h 23m,-,-
EPA-2338,Sub-task,UX Review,To Do,2025-04-17 16:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 6h 59m,-,-
EPA-2337,Sub-task,UX Review,Completed,2025-04-17 16:40,-,-,-,1w 2d 14h 14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 16h 46m,-,-
EPA-2336,Sub-task,UX Review,To Do,2025-04-17 16:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 7h 0m,-,-
EPA-2335,Sub-task,UX Review,Completed,2025-04-17 16:39,-,-,-,1d 9h 19m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 6d 21h 42m,-,-
EPA-2334,Sub-task,Test case creation,Completed,2025-04-17 14:21,-,-,-,2w 0d 11h 25m,-,-,-,-,-,21h 54m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2333,Sub-task,UX Review,To Do,2025-04-17 13:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 9h 52m,-,-
EPA-2332,Sub-task,UX Review,Completed,2025-04-17 13:47,-,-,-,2d 8h 50m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 6d 1h 2m,-,-
EPA-2331,Sub-task,UX Review,Completed,2025-04-17 13:29,-,-,-,2w 1d 9h 25m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46m,-,-
EPA-2330,Sub-task,UX Review - Bruno,To Do,2025-04-17 11:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 12h 24m,-,-
EPA-2329,Sub-task,QA Team functional test,Completed,2025-04-17 11:13,-,-,-,6h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 3h 32m,1w 6d 2h 26m,-,-
EPA-2328,Sub-task,Test case creation,Completed,2025-04-17 11:12,-,-,-,1w 3d 9h 56m,-,-,-,-,-,4d 21h 56m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h 36m,-,-
EPA-2327,Sub-task,UX Review - Bruno,To Do,2025-04-17 11:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 12h 28m,-,-
EPA-2326,Sub-task,UX Review - Bruno,Completed,2025-04-17 11:10,-,-,-,2d 13h 13m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 5d 23h 17m,-,-
EPA-2325,Sub-task,QA Team functional test,Completed,2025-04-17 11:07,-,-,-,1w 1d 12h 56m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h 16m,6d 3h 21m,-,-
EPA-2324,Sub-task,FE - Automation E2E UI Test automation,In Progress,2025-04-17 10:52,-,-,-,-,-,-,-,-,-,3d 9h 6m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 5d 3h 42m,-,-
EPA-2323,Sub-task,FE - Automation Test Data Seeding,In Progress,2025-04-17 10:41,-,-,-,-,-,-,-,-,-,3d 9h 6m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 5d 3h 53m,-,-
EPA-2322,Sub-task,FE - Automation User Authorization & Authentication,Completed,2025-04-17 10:41,-,-,-,3d 9h 6m,-,-,-,-,-,6d 3h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,6d 0h 24m,-,-
EPA-2321,Automation,FE Automation - Automate Create Smoke test,Completed,2025-04-17 10:34,-,-,-,2d 11h 9m,-,-,-,-,-,1w 5d 22h 36m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h 21m,-,-
EPA-2320,Sub-task,UX Review - Bruno,Completed,2025-04-17 10:09,-,-,-,1w 2d 14h 15m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 23h 16m,-,-
EPA-2319,Sub-task,UX Review - Bruno,Completed,2025-04-16 12:58,-,-,-,2w 2d 8h 49m,-,-,-,-,-,3m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 50m,-,-
EPA-2318,Sub-task,QA Team functional test,Completed,2025-04-16 12:57,-,-,-,2w 2d 10h 12m,-,-,-,-,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27m,3m,-,-
EPA-2317,Spike,BE- Investigate what is required to implement Control Panel,To Do,2025-04-16 12:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 2d 11h 37m,-,-
EPA-2316,Epic,Crescendo - Client Configuration (Approvals),To Do,2025-04-16 11:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 2d 11h 51m,-,-
EPA-2315,Story,Test and release fraud-service-parent (Cognito changes),Deployed to production,2025-04-15 14:15,-,-,-,-,2d 13h 16m,-,-,2d 5h 50m,5m,-,0m,-,-,-,4d 21h 59m,-,2m,-,-,-,-,5d 0h 32m,-,-,-,-,-,19h 15m,-,-,1d 20h 24m,-,-
EPA-2314,Task,FE: Release stories from Sprint 8,Completed,2025-04-15 10:35,-,-,-,6d 10h 30m,-,-,-,1w 0d 22h 4m,-,1m,-,-,-,-,3d 4h 30m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2313,Bug,FE:AXI - LightBox - placeholder text gets partially hidden,Ready For Development,2025-04-15 10:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 34m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 0h 46m,-,-
EPA-2312,Sub-task,QA Team functional test,Completed,2025-04-14 15:11,-,-,-,1w 0d 8h 20m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 4h 23m,1w 2d 19h 46m,-,-
EPA-2311,Sub-task,Test case creation,Completed,2025-04-14 15:10,-,-,-,2w 1d 9h 18m,-,-,-,-,-,2d 23h 11m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2310,Story,FE: Request Smartling translations 2.0,Ready For Development,2025-04-14 11:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 2d 12h 11m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 23h 53m,-,-
EPA-2309,Technical Story,Optimize approval chain computation for existing recognitions in approval-service,Ready For Development,2025-04-14 10:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 12h 51m,-,5m,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 0h 8m,-,-
EPA-2308,Technical Story,Optimize approval chain computation for new and existing recognitions in monolith,Ready For Development,2025-04-14 10:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 12h 51m,-,5m,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 0h 9m,-,-
EPA-2307,Task,Change award-delivered-event-sender Splunk alerts schedules,Done,2025-04-14 10:27,-,-,-,-,-,2w 4d 12h 57m,-,15m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1m,-,-
EPA-2306,Technical Story,Use app specific Oracle DB users in my-approvals-channel,Ready For Development,2025-04-14 08:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 2m,-,1w 0d 23h 40m,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 1d 3h 19m,-,-
EPA-2305,Technical Story,Use app specific Oracle DB users in approval-service,Ready For Development,2025-04-14 08:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 2m,-,1w 0d 23h 40m,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 1d 3h 20m,-,-
EPA-2304,Story,Update Approval Side Nav Counter: Include Delegate Approval Awards in Pending Count,Will Not Implement,2025-04-11 15:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 4d 18h 9m,-,-,0m,-,-,-,-,-,-,-,-,-,-,1h 10m,-,1w 2d 12h 38m
EPA-2303,Bug,Connection strength STATUS issue,Deployed to production,2025-04-10 16:02,-,-,-,-,2w 2d 5h 27m,-,-,2d 8h 10m,0m,-,0m,-,-,-,-,-,-,-,-,-,-,6m,-,-,-,-,-,-,-,-,3d 17h 55m,-,-
EPA-2302,Defect,UI Design,Completed,2025-04-10 09:57,-,-,-,3w 1d 6h 46m,-,-,-,-,-,2h 37m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h 19m,-,-
EPA-2301,Story,BE: Other Recipients Metadata - Amount,In Development,2025-04-10 09:24,-,-,-,-,-,-,-,11h 18m,-,-,-,-,-,-,2w 2d 0h 53m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6d 2h 5m,-,-
EPA-2300,Defect,UI Design,Will Not Implement,2025-04-09 15:25,-,-,-,-,-,-,-,-,-,2h 36m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22h 53m,-,3w 1d 6h 46m
EPA-2299,Sub-task,QA Team Functional test,Completed,2025-04-09 10:33,-,-,-,3w 2d 10h 48m,-,-,-,-,-,1m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 19m,0m,-,-
EPA-2298,Technical Story,FE: Release stories from Sprint 7,Deployed to production,2025-04-09 10:23,-,-,-,-,2w 1d 6h 43m,-,-,1w 1d 6h 15m,18m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2297,Bug,Notification levels issue,Deployed to production,2025-04-08 12:31,-,-,-,-,2d 2h 16m,-,-,2d 0h 22m,-,-,1h 18m,-,-,6d 23h 35m,-,-,-,-,48m,28m,-,-,-,-,-,-,-,1w 0d 9h 13m,-,-,5d 21h 7m,-,-
EPA-2296,Sub-task,QA Team functional test,Completed,2025-04-07 09:55,-,-,-,2w 3d 6h 48m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7h 29m,1w 0d 23h 28m,-,-
EPA-2295,Sub-task,Test case creation,Completed,2025-04-07 09:55,-,-,-,2w 4d 14h 32m,-,-,-,-,-,6d 21h 16m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 57m,-,-
EPA-2294,Technical Story,Update my-approvals-channel to Java 21,To Do,2025-04-04 11:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 12h 26m,-,-
EPA-2293,Technical Story,Update approval-service to Java 21,To Do,2025-04-04 11:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 12h 26m,-,-
EPA-2292,Story,Approvals - Page Title update,Ready for refinement,2025-04-04 09:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 13h 51m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2291,Story,FE: Add static IDs to Bite Sized Insight Model,Deployed to production,2025-04-04 09:31,-,-,-,-,2d 2h 16m,-,-,0m,-,-,21h 17m,-,-,1w 0d 23h 22m,1w 4d 4h 27m,-,4m,-,5d 23h 43m,-,-,-,-,-,-,-,-,10h 57m,-,-,4m,-,-
EPA-2290,Technical Story,Update GitLab pipelines to V3,To Do,2025-04-04 08:08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 15h 32m,-,-
EPA-2289,Sub-task,Test case creation,Completed,2025-04-03 14:47,-,-,-,4w 0d 11h 21m,-,-,-,-,-,21h 32m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2288,Epic,Crescendo - Phase 2 bugs/tasks,To Do,2025-04-03 09:53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 47m,-,-
EPA-2287,Story,Success confirmation X/Close option,To Do,2025-04-02 17:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 2d 6h 24m,-,-
EPA-2286,Story,FE - Change Privacy - Error message,Deployed to production,2025-04-02 16:57,-,-,-,-,2d 2h 16m,-,-,1d 3h 45m,-,-,1h 53m,-,-,7m,2w 0d 4h 32m,-,-,-,20h 39m,3d 23h 25m,-,-,-,-,-,-,-,6d 4h 40m,-,-,1d 17h 26m,-,-
EPA-2285,Story,Disapproval confirmation screen changes,Signed off,2025-04-02 16:53,-,-,-,-,-,-,-,4d 0h 34m,0m,-,1h 25m,-,-,4d 22h 14m,2w 3d 5h 41m,-,4m,-,19h 59m,22h 46m,-,-,-,-,-,-,-,12h 36m,-,-,1d 17h 28m,-,-
EPA-2284,Story,Disapproval Reason Model,Signed off,2025-04-02 16:41,-,-,-,-,-,-,-,3h 17m,-,-,19h 34m,-,-,0m,-,-,3w 1d 1h 1m,-,1d 3h 5m,2d 1h 38m,-,-,-,-,-,-,-,2d 8h 46m,-,-,1d 17h 38m,-,-
EPA-2283,Story,Approval Lightbox - fix gap between buttons/chain,Ready for refinement,2025-04-02 16:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 13h 23m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 17h 50m,-,-
EPA-2282,Story,Approval Lightbox - scrollbar hidden when not needed,Ready For Development,2025-04-02 16:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 0d 13h 16m,-,18m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 17h 39m,-,-
EPA-2281,Story,FE - Approval Lightbox - Change privacy,Deployed to production,2025-04-02 16:25,-,-,-,-,2d 12h 7m,-,-,33m,-,-,3h 9m,-,-,1m,2w 0d 3h 30m,-,-,-,20h 50m,3d 19h 21m,-,-,-,-,-,-,-,1w 0d 2h 4m,-,-,1d 17h 39m,-,-
EPA-2280,Story,FE- Approval Chain - update to use sentence case,Deployed to production,2025-04-02 16:24,-,-,-,-,2d 12h 9m,-,-,5m,-,-,1h 19m,-,-,23m,2w 0d 5h 15m,-,-,-,18h 44m,3d 21h 39m,-,-,-,-,-,-,-,1w 0d 2h 4m,-,-,1d 17h 38m,-,-
EPA-2279,Story,Approval Card - Fix loading states on approval application,In Development,2025-04-02 16:23,-,-,-,-,-,-,-,10h 23m,-,-,-,-,-,0m,3w 3d 3h 2m,-,4d 0h 42m,-,-,0m,-,-,-,-,-,-,-,-,-,-,1d 17h 9m,-,-
EPA-2278,Story,Approval Card - Pagination hidden when less than lowest pagination option,Signed off,2025-04-02 16:19,-,-,-,-,-,-,-,2d 23h 7m,-,-,2h 21m,-,-,5d 23h 40m,2w 3d 4h 51m,-,26m,-,45m,21h 38m,-,-,-,-,-,-,-,1d 9h 19m,-,-,1d 17h 13m,-,-
EPA-2277,Story,Approval Card - Add link to Nominator Profile,Peer Review,2025-04-02 16:15,-,-,-,-,-,-,-,1w 0d 23h 5m,-,-,-,-,-,10h 38m,2w 6d 4h 2m,-,24m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 17h 16m,-,-
EPA-2276,Story,FE: Approvals App - Title Change,Ready for sign-off,2025-04-02 16:12,-,-,-,-,-,-,-,3d 2h 37m,-,-,4h 5m,-,-,1d 0h 19m,3w 3d 0h 22m,-,23m,-,6h 29m,-,-,-,-,-,-,-,-,-,-,-,1d 17h 13m,-,-
EPA-2275,Sub-task,QA Team functional test,Completed,2025-04-02 14:36,-,-,-,4w 0d 9h 51m,-,-,-,-,-,1d 3h 0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h 13m,-,-
EPA-2274,Sub-task,UX Review - Bruno,Completed,2025-04-02 12:38,-,-,-,2w 1d 6h 37m,-,-,-,-,-,1w 1d 1h 41m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 0d 2h 44m,-,-
EPA-2273,Technical Story,Investigate use of new cache library,Ready For Development,2025-04-02 10:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 23m,-,4w 0d 0h 37m,-,-,-,-,-,-,-,-,-,-,-,-,-,2m,-,-
EPA-2272,Technical Story,Approvals - Descrease cache time,Deployed to production,2025-04-02 10:36,-,-,-,-,1w 0d 10h 25m,-,-,4h 41m,9m,-,21h 31m,-,-,-,2w 6d 19h 13m,-,-,-,-,-,-,0m,-,-,-,-,-,1h 1m,-,-,1d 4h 3m,-,-
EPA-2271,Story,"FE: Call Business API instead of Channel API (approval, disapproval)",Deployed to production,2025-04-01 12:39,-,-,-,-,2w 3d 10h 11m,-,-,3d 22h 56m,-,-,2h 18m,-,-,1d 4h 21m,21h 9m,-,-,-,18h 36m,21h 13m,-,-,-,-,-,-,-,5d 6h 2m,-,-,1d 0h 15m,-,-
EPA-2270,Story,BE: Remove endpoint from Approval Channel API,Deployed to production,2025-04-01 12:35,-,-,-,-,1w 0d 10h 25m,-,-,4h 35m,9m,-,21h 31m,-,-,-,3w 0d 23h 28m,-,-,-,-,-,-,0m,-,-,-,-,-,1h 1m,-,-,21h 54m,-,-
EPA-2269,Sub-task,QA Team functional test,Completed,2025-04-01 11:42,-,-,-,4w 1d 6h 37m,-,-,-,-,-,1d 2h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 2h 52m,-,-
EPA-2268,Sub-task,Test case creation,Completed,2025-04-01 11:41,-,-,-,4w 2d 7h 55m,-,-,-,-,-,1d 4h 4m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2267,Epic,Approval Comments - Technical Redesign,Researching,2025-04-01 11:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 41m,-,-,-,-,1d 22h 28m,-,-
EPA-2266,Story,BE: Add cache flush endpoint ,Deployed to production,2025-04-01 09:19,-,-,-,-,2w 4d 13h 10m,-,-,1w 0d 2h 26m,50m,-,2d 22h 23m,-,-,-,18h 12m,-,-,-,-,-,-,0m,-,-,-,-,-,-,-,-,2d 5h 20m,-,-
EPA-2265,Sub-task,QA Team functional test,Completed,2025-03-31 18:05,-,-,-,1M 0w 1d 12h 29m,-,-,-,-,-,17h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2264,Sub-task,Test case creation,Completed,2025-03-31 18:05,-,-,-,1M 0w 2d 5h 35m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2263,Spike,Investigate the Maximum Performance Assessment for Approvals,Completed,2025-03-31 14:46,-,-,-,2w 4d 13h 1m,-,-,-,-,-,1w 4d 19h 41m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 0h 13m,-,-
EPA-2262,Spike,FE Automation Scope Definition ,Completed,2025-03-31 11:11,-,-,-,2w 2d 13h 37m,-,-,-,-,-,1w 0d 22h 43m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 1d 0h 9m,-,-
EPA-2261,Bug,BE: Delegator's pending tickets count is incorrect,Deployed to production,2025-03-29 12:45,-,-,-,-,3w 3d 12h 32m,-,-,0m,1h 19m,-,2d 21h 43m,-,-,-,15m,-,-,-,22h 17m,22h 55m,-,0m,-,-,-,-,-,-,-,-,5d 0h 53m,-,-
EPA-2259,Bug,[Onboarding Blocker] Any Delegate cannot access My Teams or My Approvals in the side nav,Deployed to production,2025-03-28 15:14,-,-,-,-,4w 2d 8h 12m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4d 23h 13m,-,-
EPA-2258,Epic,Approvals - Phase 1&2 design tweaks,In Progress,2025-03-28 11:46,-,-,-,-,-,-,-,-,-,2w 2d 7h 14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 6d 6h 34m,-,-,-,-,5d 21h 6m,-,-
EPA-2257,Story,BE: add createdDateTime field to Recognition Service endpoint (for Orion),Deployed to production,2025-03-27 13:42,-,-,-,-,1M 0w 0d 11h 11m,-,-,2d 3h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 18h 43m,-,-
EPA-2256,Story,(FE) Update Skills Chart - New Designs,Ready for sign-off,2025-03-26 17:28,-,-,-,-,-,-,-,2w 0d 5h 50m,-,-,1d 0h 46m,-,-,2d 19h 1m,1w 2d 19h 42m,-,21m,-,1w 0d 8h 21m,4h 43m,-,-,-,-,-,-,-,-,-,-,1d 18h 27m,-,-
EPA-2255,Spike,BE - Investigate Spend Cap Alerts,Completed,2025-03-26 15:00,-,-,-,6d 9h 9m,-,-,-,-,-,5h 36m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 0w 0d 16h 55m,-,-
EPA-2254,Sub-task,Major Release: Regression Testing - 29th Mar 2025- Manual ,Completed,2025-03-26 12:54,-,-,-,1M 0w 2d 12h 28m,-,-,-,-,-,4d 21h 18m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2253,Sub-task,Create translation properties on DB,Completed,2025-03-26 11:00,-,-,-,3w 4d 11h 29m,-,-,-,-,-,1w 0d 20h 22m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4d 3h 49m,0m,-,-
EPA-2252,Task,Test Automation tool-Coduit review,Completed,2025-03-26 08:17,-,-,-,1M 0w 1d 11h 21m,-,-,-,-,-,6d 3h 0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1m,-,-
EPA-2250,Bug,"""My Approval"" error is registered in UI in performance env",Will Not Implement,2025-03-25 15:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6m,-,-,-,-,-,-,-,-,1w 0d 18h 23m,-,1M 0w 0d 12h 44m
EPA-2249,Bug,Award Approvals Showing encoded ampersand,Will Not Implement,2025-02-11 16:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 2w 4d 18h 8m,-,1M 0w 1d 12h 15m
EPA-2248,Sub-task,QA Team functional test:,Completed,2025-03-24 14:31,-,-,-,3w 2d 13h 38m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 0h 6m,2w 0d 18h 26m,-,-
EPA-2247,Sub-task,Test case creation,Completed,2025-03-24 14:30,-,-,-,1M 1w 0d 11h 48m,-,-,-,-,-,1d 20h 22m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2246,Story,Approval Card - Update fraud pill ,To Do,2025-03-24 12:06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 1w 2d 10h 34m,-,-
EPA-2245,Technical Story,Fix Open API Catalog for approval-service,Deployed to production,2025-03-24 08:59,-,-,-,-,1M 0w 5d 8h 10m,-,-,1d 5h 26m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 0h 4m,-,-,0m,-,-
EPA-2244,Bug,LightBox - Approval Chain: Last Users not visible and no scroll element is present on the bigger font ,Deployed to production,2025-03-21 12:14,-,-,-,-,2d 2h 16m,-,-,-,-,-,1d 1h 34m,-,-,-,3w 0d 2h 41m,-,-,-,5d 23h 45m,-,-,-,-,-,-,-,-,6h 34m,-,-,1w 4d 21h 36m,-,-
EPA-2243,Spike,FE Automation Project Requirements & Architecture research ,Completed,2025-03-20 14:16,-,-,-,4w 0d 7h 6m,-,-,-,-,-,2w 0d 6h 31m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18h 47m,-,-
EPA-2242,Technical Story,"BE: Expose Business API with GW (approval, disapproval)",Deployed to production,2025-03-20 13:21,-,-,-,-,3w 3d 12h 32m,-,-,18h 21m,1h 20m,-,-,-,-,-,1w 3d 2h 21m,-,3d 22h 11m,-,-,4d 0h 33m,-,0m,-,-,-,-,-,-,-,-,0m,-,-
EPA-2241,Sub-task,[FE] Add text properties to the my-approvals-ui app,Completed,2025-03-20 08:51,-,-,-,2w 3d 13h 47m,-,-,-,-,-,2w 1d 0h 20m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 23h 42m,-,-
EPA-2240,Story,FE - [ENG] Create English props for Connections Strength,Deployed to production,2025-03-19 14:15,-,-,-,-,2w 1d 6h 44m,-,-,4d 3h 45m,-,18h 34m,21h 17m,-,-,1w 4d 23h 46m,1w 2d 20h 36m,-,-,-,3h 0m,6h 12m,-,2m,-,-,-,-,-,1d 0h 28m,-,-,0m,-,-
EPA-2239,Sub-task,Conn strength testing,Completed,2025-03-19 13:51,-,-,-,1M 2w 0d 7h 44m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52m,12m,-,-
